icd10_code,description,code_family,chapter,chronic,specificity,hcc_v28_code,hcc_v28_label
B34.0,"Adenovirus infection, unspecified",B34,Certain infectious and parasitic diseases,false,unspecified,,
B34.1,"Enterovirus infection, unspecified",B34,Certain infectious and parasitic diseases,false,unspecified,,
B34.2,"Coronavirus infection, unspecified",B34,Certain infectious and parasitic diseases,false,unspecified,,
B34.3,"Parvovirus infection, unspecified",B34,Certain infectious and parasitic diseases,false,unspecified,,
B34.4,"Papovavirus infection, unspecified",B34,Certain infectious and parasitic diseases,false,unspecified,,
B34.8,Other viral infections of unspecified site,B34,Certain infectious and parasitic diseases,false,unspecified,,
B34.9,"Viral infection, unspecified",B34,Certain infectious and parasitic diseases,false,unspecified,,
C18.0,Malignant neoplasm of cecum,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.1,Malignant neoplasm of appendix,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.2,Malignant neoplasm of ascending colon,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.3,Malignant neoplasm of hepatic flexure,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.4,Malignant neoplasm of transverse colon,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.5,Malignant neoplasm of splenic flexure,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.6,Malignant neoplasm of descending colon,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.7,Malignant neoplasm of sigmoid colon,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.8,Malignant neoplasm of overlapping sites of colon,C18,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C18.9,"Malignant neoplasm of colon, unspecified",C18,Neoplasms,true,unspecified,20,"Colorectal, Breast, Kidney and Other Cancers"
C19,Malignant neoplasm of rectosigmoid junction,C19,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C20,Malignant neoplasm of rectum,C20,Neoplasms,true,specified,20,"Colorectal, Breast, Kidney and Other Cancers"
C25.0,Malignant neoplasm of head of pancreas,C25,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C25.1,Malignant neoplasm of body of pancreas,C25,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C25.2,Malignant neoplasm of tail of pancreas,C25,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C25.3,Malignant neoplasm of pancreatic duct,C25,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C25.4,Malignant neoplasm of endocrine pancreas,C25,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C25.7,Malignant neoplasm of other parts of pancreas,C25,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C25.8,Malignant neoplasm of overlapping sites of pancreas,C25,Neoplasms,true,specified,18,"Pancreas, Brain and Other Severe Cancers"
C25.9,"Malignant neoplasm of pancreas, unspecified",C25,Neoplasms,true,unspecified,18,"Pancreas, Brain and Other Severe Cancers"
C34.00,Malignant neoplasm of unspecified main bronchus,C34,Neoplasms,true,unspecified,19,Lung and Other Severe Cancers
C34.01,Malignant neoplasm of right main bronchus,C34,Neoplasms,true,specified,19,Lung and Other Severe Cancers
C34.02,Malignant neoplasm of left main bronchus,C34,Neoplasms,true,specified,19,Lung and Other Severe Cancers
C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",C34,Neoplasms,true,unspecified,19,Lung and Other Severe Cancers
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",C34,Neoplasms,true,specified,19,Lung and Other Severe Cancers
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",C34,Neoplasms,true,specified,19,Lung and Other Severe Cancers
